Entry Name,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Barcode/QR1-Data,Barcode/QR1-Type,Barcode/QR2-Data,Barcode/QR2-Type
14Kg Pail,S7S1KT0041,,,,,,,,0,units,,0.00,0.0,,,Bottles/Jars,,,,,,,,,,,,,"","","",""
1kg NCI Tub,S7S1KT0048,,,,,,,,720,units,,0.00,0.0,,,Bottles/Jars,,,,,,,,,,,,,"","","",""
1kg Square Dark Amber,S7S1KT0173,,,,,,,,44109,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ELHnovxmInIwLfxunaDFJFXf4fqRSluCgq2x8fZLSeDpyl3wz8dADQ==,,,,,,,,"","","",""
1kg Tub Imported,S7S1KT0040,,,,,,,,54456,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_BA7filyTv-_kX6g-9oYWUriImrESzIDZ60T3RJUjpQnbrarjmezpUA==,,,,,,,,"","","",""
1kg Value Tub,S7S1KT0047,,,,,,,,4320,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_cDvcJJ2SyGzlcV1eP17QBZRNL64ZXvuaepYFZs6Wn4fhg-XGPIaX5w==,,,,,,,,"","","",""
250g Jar Square,S7S1KT0033,,,,,,,,57154,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_PAtonrB5CYXOfiRtTo7XWrb1ibvxGSBDDry_cCPjQQ838o0aafqYZg==,,,,,,,,"","","",""
29Kg Pail,S7S1KT0042,,,,,,,,448,units,,0.00,0.0,,,Bottles/Jars,,,,,,,,,,,,,"","","",""
360g Squeeze Bottle,S7S1KT0038,,,,,,,,119844,units,110000,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_oMNFijUunl6a9aC7KC_wxsvR0X_YwG0ezIByy4xPVm35NTGbAdSeSA==,,,,,,,,"","","",""
3kg Tub,S7S1KT0039,,,,,,,,37908,units,15120,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_aIe_gD1egFcuATfEXcEL_AI_g6JT_XZI_W3l3KTFag1o5uuikbn3Pg==,,,,,,,,"","","",""
500g Jar Oval,S7S1KT0034,,,,,,,,3240,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2__keBdJ7sTLC0Gz6UsLYHU0B5jwzQ3thtag4Ed2_pELnxoIvZbaxcwg==,,,,,,,,"","","",""
500g Jar Round,S7S1KT0035,,,,,,,,26124,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_kBo2rECzRU1esvvjqlriHnnEmRT19byPx8ZjVaGZmK-DBtjiaILSWA==,,,,,,,,"","","",""
500g Jar Round - Old,S7S1KT0037,,,,,,,,15820,units,,0.00,0.0,,,Bottles/Jars,,,,,,,,,,,,,"","","",""
500g Jar Square,S7S1KT0032,,,,,,,,113154,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_OrTzHwnJ2ZnQPyhzydVGIJg3fRa1QyP7Q8qc3LCrBntY5HvXGinq-A==,,,,,,,,"","","",""
500g Squeeze Bottle,S7S1KT0036,,,,,,,,9678,units,105000,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_tUWGlGQ_gct5gA4udM8ZBY_DbReI1nLBH1qHqLjfcH2fRBAinnQ72w==,,,,,,,,"","","",""
700g Jar Round,S7S1KT0046,,,,,,,,0,units,,0.00,0.0,,,Bottles/Jars,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_UGl00_BZWfbeV6h9jz3NJ9paOGz7RUtCl_2-vO9XVnA47FSVwESJog==,,,,,,,,"","","",""
